"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"0400000US01","Alabama","*****","4785298",
"0400000US02","Alaska","*****","713985",
"0400000US04","Arizona","*****","6413737",
"0400000US05","Arkansas","*****","2921606",
"0400000US06","California","*****","37349363",
"0400000US08","Colorado","*****","5049071",
"0400000US09","Connecticut","*****","3577073",
"0400000US10","Delaware","*****","899769",
"0400000US11","District of Columbia","*****","604453",
"0400000US12","Florida","*****","18843326",
"0400000US13","Georgia","*****","9712587",
"0400000US15","Hawaii","*****","1363621",
"0400000US16","Idaho","*****","1571450",
"0400000US17","Illinois","*****","12843166",
"0400000US18","Indiana","*****","6490621",
"0400000US19","Iowa","*****","3049883",
"0400000US20","Kansas","*****","2859169",
"0400000US21","Kentucky","*****","4346266",
"0400000US22","Louisiana","*****","4544228",
"0400000US23","Maine","*****","1327567",
"0400000US24","Maryland","*****","5785982",
"0400000US25","Massachusetts","*****","6557254",
"0400000US26","Michigan","*****","9877574",
"0400000US27","Minnesota","*****","5310584",
"0400000US28","Mississippi","*****","2970036",
"0400000US29","Missouri","*****","5996231",
"0400000US30","Montana","*****","990898",
"0400000US31","Nebraska","*****","1830429",
"0400000US32","Nevada","*****","2704642",
"0400000US33","New Hampshire","*****","1316759",
"0400000US34","New Jersey","*****","8801624",
"0400000US35","New Mexico","*****","2065932",
"0400000US36","New York","*****","19392283",
"0400000US37","North Carolina","*****","9561558",
"0400000US38","North Dakota","*****","674499",
"0400000US39","Ohio","*****","11536182",
"0400000US40","Oklahoma","*****","3761702",
"0400000US41","Oregon","*****","3838957",
"0400000US42","Pennsylvania","*****","12709630",
"0400000US44","Rhode Island","*****","1052886",
"0400000US45","South Carolina","*****","4636312",
"0400000US46","South Dakota","*****","816463",
"0400000US47","Tennessee","*****","6356897",
"0400000US48","Texas","*****","25257114",
"0400000US49","Utah","*****","2776469",
"0400000US50","Vermont","*****","625960",
"0400000US51","Virginia","*****","8024617",
"0400000US53","Washington","*****","6744496",
"0400000US54","West Virginia","*****","1853973",
"0400000US55","Wisconsin","*****","5691047",
"0400000US56","Wyoming","*****","564460",
"0400000US72","Puerto Rico","*****","3722133",
