"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","4833722","*****",
"0400000US02","Alaska","735132","*****",
"0400000US04","Arizona","6626624","*****",
"0400000US05","Arkansas","2959373","*****",
"0400000US06","California","38332521","*****",
"0400000US08","Colorado","5268367","*****",
"0400000US09","Connecticut","3596080","*****",
"0400000US10","Delaware","925749","*****",
"0400000US11","District of Columbia","646449","*****",
"0400000US12","Florida","19552860","*****",
"0400000US13","Georgia","9992167","*****",
"0400000US15","Hawaii","1404054","*****",
"0400000US16","Idaho","1612136","*****",
"0400000US17","Illinois","12882135","*****",
"0400000US18","Indiana","6570902","*****",
"0400000US19","Iowa","3090416","*****",
"0400000US20","Kansas","2893957","*****",
"0400000US21","Kentucky","4395295","*****",
"0400000US22","Louisiana","4625470","*****",
"0400000US23","Maine","1328302","*****",
"0400000US24","Maryland","5928814","*****",
"0400000US25","Massachusetts","6692824","*****",
"0400000US26","Michigan","9895622","*****",
"0400000US27","Minnesota","5420380","*****",
"0400000US28","Mississippi","2991207","*****",
"0400000US29","Missouri","6044171","*****",
"0400000US30","Montana","1015165","*****",
"0400000US31","Nebraska","1868516","*****",
"0400000US32","Nevada","2790136","*****",
"0400000US33","New Hampshire","1323459","*****",
"0400000US34","New Jersey","8899339","*****",
"0400000US35","New Mexico","2085287","*****",
"0400000US36","New York","19651127","*****",
"0400000US37","North Carolina","9848060","*****",
"0400000US38","North Dakota","723393","*****",
"0400000US39","Ohio","11570808","*****",
"0400000US40","Oklahoma","3850568","*****",
"0400000US41","Oregon","3930065","*****",
"0400000US42","Pennsylvania","12773801","*****",
"0400000US44","Rhode Island","1051511","*****",
"0400000US45","South Carolina","4774839","*****",
"0400000US46","South Dakota","844877","*****",
"0400000US47","Tennessee","6495978","*****",
"0400000US48","Texas","26448193","*****",
"0400000US49","Utah","2900872","*****",
"0400000US50","Vermont","626630","*****",
"0400000US51","Virginia","8260405","*****",
"0400000US53","Washington","6971406","*****",
"0400000US54","West Virginia","1854304","*****",
"0400000US55","Wisconsin","5742713","*****",
"0400000US56","Wyoming","582658","*****",
"0400000US72","Puerto Rico","3615086","*****",
